"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"1",0,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",1,0.5,105,2,0,1,1,0,0,0,0,0,0,0,0,2,1,1
"2",1,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",0,0,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"3",2,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",2,0.666667,105,3,0,2,1,0,0,0,0,1,1,0,0,2,1,1
"4",3,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",3,0.75,105,4,0,3,1,0,0,0,0,1,1,0,0,3,2,1
"5",4,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",7,0.875,105,8,0,7,1,0,0,0,0,1,1,0,0,7,6,1
"6",5,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",2,0.666667,105,3,0,2,1,0,0,0,0,0,0,0,0,3,2,1
"7",6,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",2,0.666667,105,3,0,2,1,0,0,0,0,1,1,0,0,2,1,1
"8",7,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",6,0.857143,105,7,0,6,1,0,0,0,0,3,3,0,0,4,3,1
"9",8,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",1,0.5,105,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1
"10",9,"[105]CKykcIdhkignDtcKHcecanDJoLGCvbGvoIwnhkDptnIpioruptkjmmxeafehnbKmuEAktKEECCGJlsicmzFvrwEccromgHoCBImodjGbc",0,0,105,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
